0.112611 41 90
0.235808 41 89
0.635714 42 89
1.02094 43 89
1.98423 43 88
3.40754 43 87
3.43893 44 87
3.4428 44 86
3.68617 45 86
5.55228 45 85
6.00606 46 85
6.01923 47 85
7.20795 47 84
7.68376 47 83
8.06095 47 82
8.25165 48 82
10.3916 48 81
10.6757 49 81
12.7239 50 81
13.4282 50 80
13.673 50 79
14.5405 51 79
15.3833 51 78
15.8067 52 78
16.0869 53 78
16.1719 54 78
16.6316 54 77
16.7892 55 77
17.0671 55 76
17.0867 55 75
17.2309 55 74
17.4948 55 73
17.742 56 73
18.3442 57 73
20.4027 58 73
20.8626 59 73
22.973 60 73
23.1417 60 72
23.3897 60 71
23.6021 60 70
23.6825 61 70
24.8457 62 70
25.0448 62 69
25.3049 63 69
25.5908 64 69
25.6051 64 68
25.7665 65 68
26.4409 66 68
26.61 67 68
67.7345 67 68
67.8424 66 68
68.1265 66 67
70.0588 65 67
70.364 64 67
70.3931 64 66
70.5734 64 65
71.0352 63 65
72.1486 62 65
72.9017 61 65
72.9631 60 65
74.0042 59 65
74.0527 58 65
74.2677 57 65
74.7838 56 65
75.6768 56 64
76.0352 56 63
76.6844 55 63
77.5667 54 63
77.8554 53 63
79.2093 52 63
79.9019 52 62
80.0698 51 62
80.0709 50 62
80.0827 49 62
81.7706 48 62
81.996 48 61
82.3094 47 61
82.6027 47 60
83.8479 46 60
84.5499 46 59
84.9234 46 58
85.3784 46 57
85.4899 45 57
85.825 45 56
85.9006 44 56
86.6497 44 55
86.7543 43 55
87.9135 43 54
88.3701 43 53
88.4578 43 52
88.61 42 52
88.9137 42 51
89.6444 41 51
89.6533 41 50
90.3186 41 50
90.3361 41 51
90.3979 40 51
91.03 40 52
91.1124 40 53
91.5605 40 54
91.6404 40 55
91.76 40 56
92.0291 39 56
92.0597 39 57
92.683 38 57
93.0406 37 57
93.0433 36 57
95.0301 35 57
95.8822 34 57
96.0285 34 58
96.6114 34 59
96.9459 34 60
97.6313 34 61
97.6418 33 61
97.6906 32 61
98.2102 32 62
98.4093 32 63
99.1365 32 64
99.413 32 65
100.964 32 65
